feature,bucket,regime,side,horizon,label,sample_count,cluster_count,raw_expectancy_bps,expectancy_after_5_bps,expectancy_after_7_5_bps,expectancy_after_10_bps,pf_after_5_bps,pf_after_7_5_bps,pf_after_10_bps,win_rate_after_5_bps,win_rate_after_7_5_bps,win_rate_after_10_bps,gross_profit_after_5_bps,gross_loss_after_5_bps,gross_profit_after_7_5_bps,gross_loss_after_7_5_bps,gross_profit_after_10_bps,gross_loss_after_10_bps,win_count_after_5_bps,loss_count_after_5_bps,win_count_after_7_5_bps,loss_count_after_7_5_bps,win_count_after_10_bps,loss_count_after_10_bps,win_rate,profit_factor,average_forward_return,median_forward_return,worst_month_expectancy,worst_symbol_expectancy,leave_one_symbol_out_passed,leave_one_month_out_passed,leave_one_quarter_out_passed,top_symbol_contribution_pct,top_month_contribution_pct,top_quarter_contribution_pct
TakerBuyRatio,taker_balanced,trend_down,short,30m,DISCOVERY_REJECTED,15801,13594,-2.155422,-7.155422,-9.655422,-12.155422,0.767006,0.700177,0.639761,41.320170,39.326625,37.579900,372197.957446,485260.776410,356286.390363,508851.709327,341099.440691,533167.259655,6529,9272,6214,9587,5938,9863,41.320170,0.767006,-2.155422,-5.400000,-14.395261,-9.831669,false,false,false,0.000000,100.000000,0.000000
ETHContext60,eth_down_strong,trend_up,long,30m,DISCOVERY_REJECTED,1665,1438,-2.166716,-7.166716,-9.666716,-12.166716,0.807268,0.749708,0.696669,43.483483,41.741742,39.339339,49980.371335,61912.953405,48210.198708,64305.280778,46526.217346,66783.799416,724,941,695,970,655,1010,43.483483,0.807268,-2.166716,-3.200000,-43.987868,-17.355400,false,false,false,100.000000,26.383272,80.766231
VolumeRatio20,volume_ratio_normal,range,short,240m,DISCOVERY_REJECTED,87721,59480,-2.170840,-7.170840,-9.670840,-12.170840,0.886824,0.850486,0.815665,47.580397,46.666135,45.824831,4928964.055311,5557997.299797,4825625.889421,5673961.633907,4724212.068708,5791850.313194,41738,45983,40936,46785,40198,47523,47.580397,0.886824,-2.170840,-1.700000,-46.455358,-9.207963,false,false,false,0.000000,34.575720,100.000000
CompositeRegime,trend_up,trend_up,short,240m,DISCOVERY_REJECTED,120660,57289,-2.187728,-7.187728,-9.687728,-12.187728,0.885097,0.848245,0.812913,49.148019,48.198243,47.236864,6680599.908795,7547871.184351,6533746.940220,7702668.215776,6389772.099682,7860343.375238,59302,61358,58156,62504,56996,63664,49.148019,0.885097,-2.187728,2.800000,-42.092697,-9.362390,false,false,false,0.000000,32.456306,100.000000
VolumeRatio20,volume_ratio_normal,trend_up,short,240m,DISCOVERY_REJECTED,45584,32228,-2.191049,-7.191049,-9.691049,-12.191049,0.887952,0.851944,0.817373,49.346262,48.481923,47.597841,2597707.746757,2925504.540184,2541948.438739,2983705.232167,2487184.401716,3042901.195143,22494,23090,22100,23484,21697,23887,49.346262,0.887952,-2.191049,3.300000,-46.320441,-10.390568,false,false,false,0.000000,30.238012,85.933711
TrendSlope20,slope_up_strong,compressed_up,short,60m,DISCOVERY_REJECTED,12648,10219,-2.199255,-7.199255,-9.699255,-12.199255,0.780540,0.716222,0.657322,46.007274,44.070209,42.267552,323853.048292,414909.225588,309620.159862,432296.337159,295970.165432,450266.342729,5819,6829,5574,7074,5346,7302,46.007274,0.780540,-2.199255,0.000000,-24.414560,-644.089969,false,false,false,0.000000,100.000000,0.000000
BTCContext60,btc_up_strong,trend_up,short,60m,DISCOVERY_REJECTED,17436,10827,-2.202377,-7.202377,-9.702377,-12.202377,0.827116,0.773953,0.724057,50.275292,48.784125,47.310163,600805.958176,726386.595994,579217.531957,748388.169776,558271.820877,771032.458695,8766,8670,8506,8930,8249,9187,50.275292,0.827116,-2.202377,5.450000,-31.626469,-9.421552,false,false,false,0.000000,32.944524,0.000000
BBWidthPctRank60,bb_width_low,range,short,120m,DISCOVERY_REJECTED,52222,39805,-2.215184,-7.215184,-9.715184,-12.215184,0.818659,0.763963,0.713048,45.946153,44.379763,42.859331,1701018.994941,2077810.318268,1642091.412949,2149437.736276,1585123.698231,2223025.021557,23994,28228,23176,29046,22382,29840,45.946153,0.818659,-2.215184,-1.600000,-21.026626,-8.506392,false,false,false,0.000000,100.000000,0.000000
TrendSlope20,slope_down,compressed_up,short,60m,DISCOVERY_REJECTED,4016,3655,-2.225355,-7.225355,-9.725355,-12.225355,0.807261,0.749398,0.695618,47.808765,46.439243,44.995020,121533.602936,150550.627521,116795.852488,155852.877073,112203.455660,161300.480245,1920,2096,1865,2151,1807,2209,47.808765,0.807261,-2.225355,1.450000,-24.410236,-157.237886,false,false,false,0.000000,37.069974,100.000000
Return15,return15_up,compressed_down,long,5m,DISCOVERY_REJECTED,8811,8194,-2.247112,-7.247112,-9.747112,-12.247112,0.515626,0.410236,0.327009,39.677676,35.274089,31.120191,67974.275590,131828.581602,59738.796635,145620.602647,52433.646590,160342.952602,3496,5315,3108,5703,2742,6069,39.677676,0.515626,-2.247112,-0.900000,-11.512301,-8.141257,false,false,false,0.000000,0.000000,0.000000
